epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1751.09,0.70415,0.55537,0.90498,0.84929,0.71965,0.80573,0.57658,0.92376,0.62063,1.02181,0.000280723,0.000280723,0.000280723
86,1772.16,0.7029,0.54959,0.90113,0.84807,0.70837,0.79857,0.5753,0.93211,0.62914,1.01664,0.00026422,0.00026422,0.00026422
87,1792.12,0.7025,0.51959,0.90287,0.8776,0.70499,0.8047,0.58449,0.92151,0.61909,1.02082,0.000247716,0.000247716,0.000247716
88,1810.82,0.69372,0.52321,0.9026,0.86304,0.69831,0.79868,0.58748,0.90952,0.62155,1.01167,0.000231213,0.000231213,0.000231213
89,1833.02,0.68696,0.51994,0.89364,0.81621,0.72816,0.79975,0.58626,0.913,0.61823,1.01705,0.00021471,0.00021471,0.00021471
90,1851.98,0.69499,0.52706,0.89814,0.87423,0.70744,0.80327,0.58246,0.92636,0.62568,1.0279,0.000198206,0.000198206,0.000198206
91,1875.51,0.66364,0.51305,0.88311,0.87535,0.70095,0.80415,0.57327,0.94084,0.63397,1.03542,0.000181703,0.000181703,0.000181703
92,1893.86,0.66428,0.65694,0.88978,0.84455,0.71931,0.8008,0.58187,0.9242,0.6111,1.03276,0.0001652,0.0001652,0.0001652
93,1912.26,0.61614,0.62586,0.87252,0.79492,0.71733,0.78926,0.5692,0.92798,0.62701,1.02963,0.000148696,0.000148696,0.000148696
94,1931.18,0.66456,0.47633,0.88259,0.83584,0.69765,0.79685,0.57765,0.92212,0.6179,1.03113,0.000132193,0.000132193,0.000132193
95,1949.72,0.63445,0.47407,0.87674,0.85925,0.68711,0.79224,0.57804,0.91835,0.61346,1.03146,0.00011569,0.00011569,0.00011569
96,1968.38,0.62222,0.50343,0.88046,0.85092,0.69419,0.79301,0.57994,0.91933,0.62153,1.03365,9.91865e-05,9.91865e-05,9.91865e-05
97,1987.07,0.6475,0.55236,0.90469,0.83964,0.70161,0.78614,0.5724,0.92323,0.62861,1.0322,8.26832e-05,8.26832e-05,8.26832e-05
98,2005.16,0.61398,0.54942,0.88445,0.8309,0.697,0.78764,0.57653,0.91209,0.6273,1.02602,6.61799e-05,6.61799e-05,6.61799e-05
99,2023.38,0.61411,0.43083,0.87552,0.81858,0.70654,0.78869,0.57558,0.91766,0.624,1.02994,4.96766e-05,4.96766e-05,4.96766e-05
100,2042.31,0.6173,0.43833,0.87129,0.83251,0.7084,0.78871,0.57652,0.91696,0.62616,1.0296,3.31733e-05,3.31733e-05,3.31733e-05
